Language	English	Français	italiano	Deutsche	español	日本	Português	عربى	한국어	Русский	中文(简)	中文(繁)	Polski	Dutch	Предреформенный русскій
displace	displace	Déplacer	sostituire	Versetzen	desplazar	位置をずらす	deslocar	إزاحة	대체하기	Хаотичная Телепортация	置换	置換	Przemieszczenie	verplaats	Хаотичное Перенесеніе
debilitate	debilitate	Affaiblissement	debilitare	Schwächung	debilitar	衰弱	debilitar	موهنة	약화시키기	Ослабление	衰弱	衰弱	Wycieńczenie	verzwak	Ослабленіе
protection	protection	Protection	protezione	Schutz	proteccion	保護	proteção	حماية	보호	Защита	保护	保護	Ochrona	bescherming	Защита
clone	clone	Clone	clone	Klonen	clon	クローン	clone	استنساخ	복제	Клонирование	克隆	複製	Klon	kloon	Подобіе
mana_burn	mana burn	Combustion de mana	brucia mana	Mana verbrennen	Mana Burn	マナバーン	Mana Burn	مانا حرق	마나 태우기	Сжигание Маны	法力烧伤	法力燒傷	Wypalenie Many	mana opbranden	Сожиганіе эѳира
mana_steal	mana steal	Vol de mana	ruba mana	Mana Stehlen	maná robo	マナスティール	Mana roube	مانا سرقة	마나 빼앗기	Воровство Маны	法力吸取	法力吸取	Kradzież Many	mana diefstal	Похищеніе эѳира
blood curse	blood curse	Malédiction du sang	maledizione del sangue	Blutfluch	maldición de sangre	血の呪い	Maldição de Sangue	لعنة الدم	피의 저주	Проклятье Крови	血咒	血咒	Klątwa Krwi	bloed vervloeking	Проклятіе Крови
push	push	Pousser	spingere	Schieben	empujar	推す	empurrar	يدفع	밀치기	Отталкивание	推	推	Pchnięcie	stoot	Отталкиваніе
pull	pull	Tirer	tirare	Ziehen	jalar	引く	puxar	يحذب	당기기	Притягивание	拉	拉	Przyciągnięcie	trek	Притягиваніе
vortex	vortex	Tornade	vortice	Wirbel	vórtice	渦巻	vórtice	دوامة	소용돌이	Вихрь	旋涡	旋渦	Wciągnięcie	vortex	Вихрь
dash	dash	Sprint	scatto	Sprint	estrellarse	ダッシュ	Dash	اندفاع	돌진	Рывок	冲刺	衝刺	Sprint	sprint	Порывистый Бросокъ
repel	repel	Repousser	respingere	Abstoßen	repeler	反発	repelir	صد	쫓아내기	Пинок	驱逐	驅逐	Wypchnięcie	afwering	Пинокъ
decoy	decoy	Leurre	esca	Täuschziel	señuelo	おとり人形	Espantalho	شرك	미끼	Чучело	诱饵	誘餌	Kukła	lokaas	Чучело
bloat	bloat	Gonfler	gonfiare	Aufblähen	inflar	爆発	inchar	منتفخ	부풀리기	Вздутие	膨胀	膨脹	Wzdęcie	opzwellen	Вздутіе
last will	last will	Dernière volonté	ultima volanta	Letzter Wille	último deseo	遺言	última vontade	الوصية الأخيرة	유언	Последнее Желание	遗愿	遺願	Ostatnia Wola	laatste wil	Послѣднее Желаніе
split	split	Séparation	dividere	Teilen	dividir	分裂	dividir	ينقسم	뱉기	Разделение	分裂	分裂	Podział	splijt	Раздѣленіе
drown	drown	Noyer	annegare	Ertränken	ahogar	溺死	afogar	يغرق	익사키기기	Утопание	淹没	淹沒	Na dno	verdrinken	Утопаніе
target similar	target similar	Cibler similaire	bersaglia un simile	Ziel: Ähnlich	objetivo similar	選択範囲 類似	alvo semelhante	هدف مماثل	비슷한 표적	Идентичная Цель	选取 类似单位	選取 類似單位	Celuj: Podobieństwo	mik op gelijken	Тождественная Цѣль
target cone	target cone	Cibler en cône	bersaglia a cono	Ziel: Kegel	cono objetivo	選択範囲 円錐	Trajeto em Cone	الهدف المخروط	부채꼴 표적	Конус	选取 扇形区域	選取 扇形區域	Celuj: Stożek	mik op kegel	Конусъ
plus radius	plus radius	Rayon augmenté	incrementa raggio	grösserer Radius	Radio más	半径増加	mais raio	بالإضافة إلى دائرة نصف قطرها	범위 증가	Увеличение Радиуса	增加半径	增加半徑	Większy zasięg	meer radius	Увеличеніе Пространства
shove	shove	Bousculer	spingere	Stoß	empujón	弾く	empurrão	دفع	밀치기	Щелбан	推开	推開	Pchnięcie	duw	Щелчокъ
target column	target column	Cibler colonne	bersalglia a colonna	Ziel: Rechteck	columna objetivo	選択範囲 列	Trajeto em Coluna	العمود الهدف	기둥 표적	Прямоугольник	选取 柱形区域	選取 柱形區域	Celuj: Kolumna	mik op kolom	Прямоуголникъ
burst	burst	Explosion	esplodere	Zerbersten	explosión	爆裂	explodido	ينفجر	분출하기	Воспламенение	爆裂	爆裂	Impuls	barsten	Воспламененіе
out of range	Out of Range	Trop loin	Fuori Portata	außer Reichweite	Fuera de rango	範囲外	Fora de alcance	خارج النطاق	범위 밖	Далеко	超出范围	超出範圍	Poza zasięgiem	buiten bereik	Далече
Invalid Spawn Location	Invalid Spawn Location	Placement invalide	Posizione di Spawn non valida	ungültiger Spawnpunkt	Ubicación de desove no válida	無効なスポーンポイント	Localização invalida de spawn	موقع تفرخ غير صالح	유효하지 않은 스폰 위치	Точка не подходит	无效的出生点	無效的出生點	Nieprawidłowa lokalizacja odrodzenia	onjuiste start gebied	Точка не годится
Insufficient Mana	Insufficient Mana	Mana Insuffisant	Mana Insufficiente	nicht genug Mana	Maná insuficiente	マナが足りません	Mana insuficiente	مانا غير كافية	마나 부족	Не хватает маны	法力不足	法力不足	Niewystarczająca mana	niet genoeg mana	Недостатокъ эѳира
Remaining	Remaining	Restant	Rimanente	verbleibend	Restante	残り	Restante	متبقي	남음	Осталось	剩余	剩餘	Pozostało	resterend	Осталось
Insufficient Health	Insufficient Health	Santé trop basse	Salute Insufficiente	nicht genug Lebenspunkte	Salud insuficiente	体力が足りません	Saúde insuficiente	الصحة غير كافية	체력 부족	Недостаточно здоровья	血量不足	血量不足	Niewystarczające zdrowie	niet genoeg leven	Недостатокъ Здравія
This spell will kill you	This spell will kill you	Ce sort va vous tuer	Questo incantesimo ti ucciderà	Dieser Zauber wird dich töten	Este hechizo te matará	この呪文はあなたを殺する	Este feitiço vai te matar	هذه التعويذة سوف يقتلك	이 주문은 당신을 죽일 것입니다	Это заклинание убьет вас	这个咒语会杀死你	這個咒語會殺死你	To zaklęcie cię zabije	deze spreuk zal jouw einde betekenen	Сіе заклятіе убіетъ тебя
This spell will damage & curse you	This spell will damage & curse you	Ce sort va vous blesser et vous maudire	Questo incantesimo ti danneggerà e ti maledirà	Dieser Zauber wird dir Schaden zufügen und dich verfluchen	Este hechizo te dañará y maldice	この呪文はあなたにダメージ&呪いを与えます	Este feitiço causará dano e irá amaldiçoar você	هذه التعويذة ستضرك وتلعقك	이 주문은 당신에게 피해와 저주를 내릴 것입니다	Это поранит и проклинет вас	这个咒语会对你造成伤害或诅咒	這個咒語會對你造成傷害或詛咒	To zaklęcie cię skrzywdzi i przeklnie	deze spreuk zal jou beschadigen en vervloeken	Сіе поранитъ и проклянетъ тебя
This spell will damage you	This spell will damage you	Ce sort va vous blesser	Questo incantesimo ti danneggerà	Dieser Zauber wird dir Schaden zufügen	Este hechizo te dañará	この呪文はあなたにダメージを与えます	Este feitiço causará dano em você	هذه التعويذة سوف تلحق الضرر بك	이 주문은 당신에게 피해를 줄 것입니다	Это заклинание повредит вам	这个咒语会对你造成伤害	這個咒語會對你造成傷害	To zaklęcie cię skrzywdzi	deze spreuk zal jou beschadigen	Сіе заклятіе поврѣдитъ тебѣ
This spell will curse you	This spell will curse you	Ce sort va vous maudire	Questo incantesimo ti maledirà	Dieser Zauber wird dich verfluchen	Este hechizo te maldecirá	この呪文はあなたに呪いを与えます	Este feitiço vai amaldiçoar você	هذه التعويذة سوف تلعنك	이 주문은 당신에게 저주를 내릴 것입니다	Это заклинание проклинет вас	这个咒语会对你造成诅咒	這個咒語會對你造成詛咒	To zaklęcie cię przeklnie	deze spreuk zal jou vervloeken	Сіе заклятіе проклянетъ тебя
Damage	Damage	Dégât	Danno	Schaden	Daño	ダメージ	Dano	ضرر	피해	Урон	伤害	傷害	Atak	schade	Врѣдъ
Movement	Movement	Mouvement	Movimento	Bewegung	Movimiento	移動	Movimento	حركة	이동	Передвижение	位移	位移	Ruch	beweging	Движеніе
Targeting	Targeting	Ciblage	Bersagliare	Zielen	Orientación	選択	Alvejando	الاستهداف	표적	Точечные	选取	選取	Celowanie	richten	Точечныя
Mana	Mana	Mana	Mana	Mana	Maná	マナ	Mana	مانا	마나	Мана	法力	法力	Mana	mana	эѳиръ
Curses	Curses	Malédictions	Maledizioni	Fluch	Maldiciones	呪い	Maldições	لعنات	저주	Проклятья	诅咒	詛咒	Klątwy	vervloekingen	Проклятія
Blessings	Blessings	Bénédictions	Benedizioni	Segen	Bendiciones	祝福	Bênçãos	بركات	축복	Благословения	祝福	祝福	Błogosławieństwa	zegeningen	Благословенія
Soul	Soul	Âme	Anima	Seele	Alma	魂	Alma	روح	영혼	Духовная Магия	灵魂	靈魂	Dusza	ziel	Духовная Волшба
Multiplayer	Multiplayer	Multijoueur	Multigiocatore	Mehrspieler	Multijugador	マルチプレイ	Multiplayer	متعددة اللاعبين	멀티플레이어	Мультиплеер	多人游戏	多人遊戲	Tryb Wieloosobowy	multiplayer	Многолюдная Игра
Settings	Settings	Paramètres	Impostanzioni	Einstellungen	Ajustes	設定	Configurações	إعدادات	설정	Настройки	设置	設定	Ustawienia	opties	Устроеніе
New Run	New Run	Nouvelle Partie	Nuova partita	Neue Runde	Nueva carrera	プレイ	Novo jogo	تشغيل جديد	새로 시작	Новая игра	新游戏	新遊戲	Nowa gra	nieuwe poging	Новая Игра
Help	Help	Aide	Aiuto	Hilfe	Ayuda	ヘルプ	Ajuda	يساعد	도움말	Помощь	帮助	幫助	Pomoc	hulp	Справка
Credits	Credits	Crédits	Crediti	Anerkennungen	Créditos	クレジット	Créditos	الاعتمادات	크레딧	Авторы	谢幕	謝幕	Autorzy	credits	Создатели
Localization	Localization	Localisation	Localizzazione	Lokalisierung	Localización	ローカライズ	Localização	الموقع	언어	Локализация	本地化	本地化	Język	vertaling	Переводъ
Audio	Audio	Audio	Audio	Ton	Audio	音声	Áudio	صوتي	소리	Звук	音频	音頻	Dźwięk	audio	Звукъ
Video	Video	Vidéo	Video	Video	Video	ビデオ	Vídeo	فيديو	화면	Видео	视频	影片	Grafika	video	Видѣніе
Player Configuration	Player Configuration	Configuration du joueur	Configurazione del giocatore	Spieler Einstellungen	Configuración del jugador	プレイヤー設定	Configurações do jogador	تكوين اللاعب	플레이어 설정	Настройка Игрока	玩家设置	玩家設置	Gracz	speler opties	Устроеніе Игрока
Controls	Controls	Contrôles	Controlli	Steuerung	Control S	コントロール	Controles	ضوابط	조작	Управление	控制	控制	Sterowanie	besturing	Управленіе
Extras	Extras	Extras	Extra	Extras	Extras	エクストラ	Extras	إضافات	기타	Дополнения	附加内容	附加內容	Dodatki	extra's	Дополненія
Total Volume	Total Volume	Volume général	Volume Totale	Gesamtlautstärke	Volumen total	マスター音量	Volume total	الحجم الكلي	총 볼륨	Общая громкость	总音量	總音量	Głośność gry	master volume	Общая Громкость
Music Volume	Music Volume	Volume de la musique	Volume Della Musica	Musiklautstärke	Volumen de la música	音楽音量	Volume da música	طبقة صوت الموسيقا	음악 볼륨	Громкость музыки	音乐音量	音樂音量	Głośność muzyki	muziek volume	Громкость Музыки
Sound Effects Volume	Sound Effects Volume	Volume des effets	Volume Degli Effetti Sonori	Effektlautstärke	Volumen de efectos de sonido	エフェクト音量	Volume de efeitos sonoros	حجم المؤثرات الصوتية	효과음 볼륨	Громкость звуковых эффектов	音效音量	音效音量	Głośność efektów dźwiękowych	geluidseffect volume	Громкость Звуковыхъ Дѣйствій
Toggle Fullscreen	Toggle Fullscreen	Plein écran	Attiva/Disattiva Schermo Intero	Vollbildschirm ein-/ausschalten	Alternar pantalla completa	フルスクリーン設定	Alternar para o modo tela cheia	ملء الشاشة تبديل	풀스크린 활성화	Переключить Полноэкранный Режим	全屏切换	全屏切換	Przełącz tryb pełnoekranowy	wissel fullscreen	Переключити Полноэкранный Режимъ
Player Name	Player Name	Nom du joueur	Nome Del Giocatore	Spielername	Nombre del jugador	プレイヤーの名前	Nome do jogador	اسم اللاعب	플레이어 이름	Имя Игрока	玩家名称	玩家名稱	Nazwa gracza	speler naam	Имя Игрока
Robe Color	Robe Color	Couleur de la robe	Colore Della Veste	Robenfarbe	Color de túnica	ロープの色	Cor de túnica	رداء لون	의복 색상	Цвет Робы	长袍颜色	長袍顏色	Kolor szaty	mantel kleur	Цвѣтъ Одежды
Toggle FPS / Latency Monitor	Toggle FPS / Latency Monitor	Afficher IPS/latence	Attiva/Disattiva FPS/Schermo Latenza	FPS und Latenz anzeigen	Alternar FPS / Monitor de latencia	FPS/遅延 表示	Alterar FPS / Monitor de Latência	تبديل FPS / مراقبة الكمون	FPS 켜기 / 레이턴시 	Показать FPS / Ping	FPS/延迟 显示切换	FPS/延遲 顯示切換	Przełącz Monitor FPS / Opóźnienia	wissel fps	Показати FPS / Пингъ
clearQueuedSpell	Clear active spell	Désélectionner sort actif	Cancella l'Incantesimo Attivo	Gewählten Zauber entfernen	Clear hechizo activo	隊列にある呪文をキャンセルする	Feitiço ativo claro	تعويذة نشطة واضحة	활성화된 주문 지우기	Отчистить активное заклинание	清除队列中的咒语	清除隊列中的咒語	Wyczyść aktywne zaklęcie	wis gekozen spreuk	Очистити Дѣйствующее Заклятіе
free look	free look	Caméra libre	telecamera libera	Freie Kamera	mirada libre	カメラフリー	Câmera solta	نظرة مجانية	자유 시점	Свободная камера	自由观察	自由觀察	Swobodna kamera	vrije kijk	Вольная Камера
recenterCamera	camera follow player	Caméra verrouillée sur le joueur	la telecamera segue il giocatore	Autozentrierte Kamera	Camera Seguir el jugador	プレイヤーをカメラの中心にする	Câmera presa ao jogador	الكاميرا اتبع المشغل	플레이어 시점	Камера следует за персонажем	重新居中镜头	重新居中鏡頭	Śledzenie gracza przez kamerę	camera volgt speler	Камера слѣдуетъ за лицомъ
ping	ping location	Ping	ping posizione	Ort markieren	ubicación de ping	遅延	Localização do ping	موقع ping	위치 찍기	Поставить маркер	延迟	延遲	Zaznaczenie na planszy	ping locatie	Поставити Знакъ
toggle menu	toggle menu	Menu	attiva/disattiva il menu	Menü ein-/ausschalten	Menú de palanca	メニュー切り替え	Menu de alternância	القائمة تبديل	메뉴 활성화	Меню	切换菜单	切換菜單	Przełącz menu	wissel menu	Списокъ
inventory	inventory	Inventaire	inventario	Inventar	inventario	バッグ	inventário	جرد	인벤토리	Инвентарь	背包	背包	Ekwipunek	inventaris	Скарбъ
showWalkRope	view walk distance	Afficher la distance de déplacement	visualizza la distanza percorsa	Laufdistanz anzeigen	Ver distancia de caminata	移動線路表示する	Ver a distância caminhada	عرض مسافة المشي	이동 거리 보기	Показать путь	显示移动路径	顯示移動路徑	Zmierz odległość	bekijk loopafstand	Показати Путь
Resume Game	Resume Game	Reprendre	Riprendi Il Gioco	Weiterspielen	Reanudar juego	ゲームに戻る	Retornar ao jogo	أكمل اللعب	게임 재개하기	Продолжить Игру	继续游戏	繼續遊戲	Kontynuuj grę	Hervat spel	Продолжити Игру
🠔 Back	🠔 Back	🠔 Retour	Indietro	🠔 Zurück	🠔 Volver	🠔戻る	🠔 Voltar	🠔 العودة	돌아가기	🠔 Назад	🠔返回	🠔返回	🠔 Wróć	🠔 Terug	🠔 Назадъ
Quit to Main Menu	Quit to Main Menu	Quitter vers le Menu Principal	Esci Al Menu Principale	Zum Hauptmenu zurückkehren	Renunciar al menú principal	メインメニューに戻ります	Voltar para o menu principal	استقال من القائمة الرئيسية	메인 메뉴로 나가기	Выйти в Главное Меню	回到主菜单	回到主菜單	Wyjdź do menu głównego	Stop naar menu	Выйти въ Главный Списокъ
Disconnect	Disconnect	Déconnexion	Disconneti	Verbindung trennen	Desconectar	切断する	desconectar	قطع الاتصال	연결끊기	Отключиться	断开连接	斷開連接	Rozłączyć się	Verbreek verbinding	Отсоединиться
Are you sure you want to disconnect from this server?	Are you sure you want to disconnect from this server?	Êtes-vous sûr(e) de vouloir vous déconnecter de ce serveur ?	Sei sicuro di volerti disconnetter da questo server?	Bist du sicher dass du diesen Server verlassen willst?	¿Estás seguro de que quieres desconectarte de este servidor?	このサーバーから切断するか？	Você tem certeza que deseja se desconectar do servidor?	هل أنت متأكد من أنك تريد فصل هذا الخادم؟	정말로 서버에서 나가시겠습니까?	Вы уверены, что хотите отключиться от этого сервера?	您确定要断开与该服务器的连接吗?	您確定要斷開與該服務器的連接嗎?	Czy na pewno chcesz odłączyć się od tego serwera?	Weet je zeker dat je de verbinding wilt verbreken met deze server?	Увѣрены ли вы, что желаете отсоединиться отъ сего сервера?
Server Url	Server Url	URL du serveur	URL del server	Server Url	URL del servidor	サーバーURL	URL do servidor	عنوان URL الخادم	서버 Url	URL-адрес сервера	服务器地址	服務器地址	URL serwera	server link	Адресъ Сервера
How to Move	How to Move	Comment se déplacer	Come muoversi	Wie man sich bewegt	Cómo mover	移動方法	Como se mover	كيف تتحرك	이동하는 방법	Как Ходить	如何移动	如何移動	Jak się poruszać	Hoe beweeg je	Какъ Ходити
Forging Spells	Forging Spells	Façonner des Sorts	Creare Gli Incantesimi	Zauber schmieden	Hechizos de falsificación	呪文の合成	Forjando feitiços	تزوير نوبات	주문 합치기	Совмещение Заклинаний	合成咒语	合成咒語	Tworzenie zaklęć	Spreuken creëren	Сложеніе Заклятій
Stacking Spells	Stacking Spells	Empiler des Sorts	Combinare Gli Incantesimi	Zauber verketten	Hechizos de apilamiento	呪文の重ね	Empilhando feitiços	نوبات التراص	주문 중첩시키기	Усиление Заклинаний	叠加咒语	疊加咒語	Łączenie zaklęć	Spreuken stapelen	Усиленіе Заклятій
Stamina	Stamina	Endurance	Stamina	Ausdauer	Aguante	スタミナ	Energia	قوة تحمل	스태미나	Выносливость	耐力	耐力	Wytrzymałość	Energie 	Выносливость
End Turn	End Turn	Fin du tour	Fine Del Turno	Zug beenden	Fin del turno	ターン終了	Turno final	نهاية بدوره	턴 끝내기	Конец Хода	结束回合	結束回合	Zakończ turę	Beëindig zet	Конецъ Череда
Mana Overfill	Mana Overfill	Surcharge de mana	Sovraccarico di Mana	Manaüberfluss	Mana sobrellenada	マナオーバーフィル	Mana Overfill	مانا يفرط	마나	Переизбыток Маны	法力溢出	法力溢出	Przepełnienie many	Mana Overloop	Избытокъ эѳира
Mana Cost	Mana Cost	Coût en mana	Costo In Mana	Manakosten	El coste de maná	マナコスト	Custo de mana	تكلفة مانا	마나 비용	Стоимость Маны	法力消耗	法力消耗	Koszt zaklęć	Mana Kost	Цѣна эѳира
Melee Agro	Melee Aggro	Agression en Mêlée	Aggressione Corpo A Corpo	Nahkampf Aggro	Meleo aggro	近距離アグロ	Foco corpo a corpo	مشاجرة aggro	근접 공격	Монстры Ближнего Боя	近战仇恨	近戰仇恨	Przeciwnicy walczący wręcz	Melee Agro	Чудовища Ближняго Боя
Ranged Agro	Ranged Aggro	Agression à Distance	Aggressione A Distanza	Fernkampf Aggro	Aggro a distancia	遠距離アグロ	Agro	تراوحت aggro	원거리 공격	Монстры Дальнего Боя	远程仇恨	遠程仇恨	Przeciwnicy dystansowi	Ranged Agro	Чудовища Дальняго Боя
Camera Movement	Camera Movement	Mouvements de caméra	Movimento Della Telecamera	Kamera bewegen	Movimiento de la cámara	カメラ移動	Movimento da câmera	حركة الكاميرا	시점 이동	Управление Камерой	镜头移动	鏡頭移動	Ruch kamerą	Camera Beweging	Управленіе Камерой
Getting New Spells	Getting New Spells	Acquérir de nouveaux sorts	Ottenere Nuovi Incantesimi	Neue Zauber erlangen	Obtener nuevos hechizos	新しい呪文を獲得する	Obtendo novos feitiços	الحصول على نوبات جديدة	새 주문으로 시작	Получение Новых Заклинаний	获取新的咒语	獲取新的咒語	Uzyskiwanie nowych zaklęć	Nieuwe Spreuken Krijgen	Полученіе Новыхъ Заклятій
Missing Scroll Pickups	Missing Scroll Pickups	Parchemins de sorts manquants	Mancare Di Raccogliere Una Pergamena	Schriftrolle verpassen	Falta de camionetas de desplazamiento	スクロールがピックアップされてません	Falta captadores de rolagem	مفقود لقطات التمرير	줍지 않은 주문	Отсутствуют пикапы прокрутки	缺失卷轴	缺失捲軸	Zwoje	Missende Perkamentrollen 	Отсутствуютъ Свитки
Liquid Damage	Liquid Damage	Dégâts de liquides	Danni Da Liquidi	Flüssigkeitsschaden	Daño liquido	液体ダメージ	Dano líquido	تلف السائل	액체 피해	Урон от Жидкости	液态伤害	液態傷害	Obrażenia od cieczy	Water Schade	Врѣдъ отъ Жидкости
Remove Spells	Remove Spells	Supprimer des sorts	Rimovi Incantesimi	Zauber entfernen	Eliminar hechizos	呪文をキャンセル	Remova feitiços	إزالة التعويذات	주문 지우기	Убрать Заклинания	删除咒语	刪除咒語	Usuwanie zaklęć	Verwijder Spreuken	Удаленіе Заклятій
Spell Forge Order	Spell Forge Order	Ordre de Façonnage des Sorts	Ordine Di Creasione Dell'Incantesimo	Zauberverkettungsreihenfolge	Orden de hechizo Forge	呪文合成の順番	Setent forge Order	تهجئة Forge أمر	주문을 합치는 순서	Порядок Заклинаний Важен	咒语合成顺序	咒語合成順序	Kolejność zaklęć	Spreuk Creatie Orde	Порядокъ Заклятій Важенъ
Surviving Death	Surviving Death	Survivre à la Mort	Sopravvivere La Morte	den Tod überleben	Muerte sobreviviente	生き残ります	Sobreviver à morte	الباقين على قيد الحياة	죽음에서 살아남기	Вы Погибли	死里逃生	死裡逃生	Przeżycie śmierci	de Dood Overleven	Ты Погибъ
Mini Bosses	Mini Bosses	Mini Boss	Mini Bosses	Minibosse	Mini jefes	ミニボス	Mini chefes	الرؤساء المصغرة	미니 보스	Мини-Боссы	小Bosses	小Bosses	Mini bossowie	Mini-bazen	Малые Вожди
Are you sure you want to end your turn without moving or casting?	Are you sure you want to end your turn without moving or casting?	Êtes-vous sûr(e) de vouloir finir le tour sans bouger ou lancer de sort ?	Sei sicuro di voler terminare il tuo turno senza muoverti o lanciare incantesimi?	Bist du sicher dass du den Zug beenden willst ohne dich zu bewegen oder einen Zauber zu wirken?	¿Estás seguro de que quieres terminar tu turno sin moverse o fundir?	移動や呪文の使いなしでターン終了するか？	Tem certeza que deseja terminar sua rodada sem se mover ou utilizar habilidades?	هل أنت متأكد من أنك تريد إنهاء دورك دون تحريك أو صب؟	정말로 어떠한 이동이나 주문 시전도 없이 턴을 끝내시겠습니까?	Ты можешь колдовать или двигаться. Пропустить ход?	您确定要在不移动或者使用咒语的情况下结束回合吗?	您確定要在不移動或者使用咒語的情況下結束回合嗎?	Czy na pewno chcesz zakończyć swoją turę bez poruszania się ani używania zaklęć?	Weet je zeker dat je jouw beur wil beindigen zonder te bewegen of te toveren?	Ты можешь колдовати или двигаться. Пропустити чередъ?
Okay	Okay!	D'accord	Ok	Okay!	¡Bueno!	わかった	OK!	تمام!	알았어	Хорошо!	好	好	Dobra!	Okay 	Добро!
Intriguing...	Intriguing...	Bizarre...	Intrigante!	faszinierend...	Intrigante...	興味深い	Intrigante...	مثيرة للاهتمام...	흥미롭군...	Интригующе...	有意思...	有意思...	Intrygujące...	Interessant...	Заманчиво...
Nice!	Nice!	Super !	Bello!	Nett!	¡Lindo!	良き!	Legal!	لطيف - جيد!	좋았어!	Класс!	好的!	好的!	Nieźle!	Nice!	Славно!
Cool!	Cool!	Cool !	Fico!	Cool!	¡Fresco!	いいね!	Legal!	رائع!	끝내주는군!	Клево!	棒!	棒!	Fajnie!	Cool!	Лѣпо!
I'm so organized!	I'm so organized!	Je suis très méthodique !	Sono cosi organizzato!	Ich bin so organisiert!	¡Estoy tan organizado!	私は整理が得意のだ！	Estou tão organizado!	أنا منظم جدا!	정말로 체계적이로군!	Я такой собранный!	我井然有序!	我井然有序!	Jestem taki zorganizowany!	Ik ben zo georganiseerd!	Я такъ собранъ!
Yikes!	Yikes!	Aïe	Oh no!	Huch!	¡Ay!	くぅ!	Caramba!	yikes!	앗!	Обалдеть!	哎哟!	哎喲!	Ups!	Oef!	Диво!
Bummer	Bummer!	Quelle déception	Peccato	Schade!	¡Gorrón!	うそーん	Desapontamento!	الخسارة!	실망	Облом!	真倒霉	真倒霉	Oh...!	Jammer!	Обломъ!
Got it!	Got it!	J'ai réussi !	Ho capito!	Verstanden!	¡Entiendo!	了解!	Entendi!	فهمتها!	알았다!	Понял!	明白!	明白!	Rozumiem!	Ik heb het!	Уразумѣлъ!
no	no	Non	no	Nein	No	いいえ	não	لا	아니	нет	不	不	Nie	Nee	Нѣтъ
how to move title	How to Move	Comment se déplacer	Come Muoversi	Wie man sich Bewegt	Cómo mover	タイトルの移動方法	Como se mover	كيف تتحرك	이동하는 방법	Как Ходить	如何移动标题	如何移動標題	Jak się poruszać	Hoe Beweeg Je	Какъ Ходити
